MTS,volume,close,high,low,open
2018/11/10 8:00,170093.4362,0.1768,0.1808,0.1741,0.1767
2018/11/11 8:00,250628.5188,0.1787,0.1953,0.175,0.1771
2018/11/12 8:00,122179.0456,0.1771,0.1843,0.1749,0.18
2018/11/13 8:00,176297.5429,0.1764,0.1825,0.1743,0.1771
2018/11/14 8:00,341172.7967,0.15,0.1766,0.15,0.1742
2018/11/15 8:00,518656.9409,0.1418,0.1552,0.1283,0.1521
2018/11/16 8:00,125229.727,0.1411,0.1453,0.1368,0.1423
2018/11/17 8:00,45301.1685,0.1353,0.1417,0.1338,0.1385
2018/11/18 8:00,50407.27847,0.1426,0.143,0.1361,0.1361
2018/11/19 8:00,463792.4434,0.1061,0.1396,0.1057,0.1396
2018/11/20 8:00,715449.9183,0.0893,0.1126,0.0881,0.1061
2018/11/21 8:00,249414.1384,0.0983,0.1012,0.0827,0.0893
2018/11/22 8:00,193355.5098,0.0915,0.1012,0.0901,0.0981
2018/11/23 8:00,149347.704,0.0939,0.097,0.0888,0.0927
2018/11/24 8:00,145344.3781,0.0821,0.098,0.082,0.0938
2018/11/25 8:00,260778.1964,0.0816,0.0857,0.0736,0.0847
2018/11/26 8:00,183850.6022,0.0774,0.0847,0.074,0.0814
2018/11/27 8:00,133241.6705,0.0788,0.0795,0.074,0.0765
2018/11/28 8:00,1145465.439,0.104,0.1132,0.0783,0.079
2018/11/29 8:00,546042.4781,0.0928,0.1059,0.0928,0.1045
2018/11/30 8:00,158194.4748,0.0898,0.0995,0.0883,0.093
2018/12/1 8:00,67717.73839,0.0973,0.0982,0.0896,0.0901
2018/12/2 8:00,68800.07531,0.09,0.0956,0.0896,0.094
2018/12/3 8:00,149166.9009,0.0854,0.0972,0.082,0.092
2018/12/4 8:00,207990.4609,0.0828,0.0877,0.0812,0.0854
2018/12/5 8:00,152081.1711,0.0813,0.0881,0.0808,0.0848
2018/12/6 8:00,165699.0313,0.075,0.0838,0.075,0.0824
2018/12/7 8:00,151816.5138,0.0682,0.075,0.0641,0.075
2018/12/8 8:00,81540.38994,0.0703,0.0735,0.0654,0.0719
2018/12/9 8:00,50557.33887,0.0714,0.0766,0.0678,0.07
2018/12/10 8:00,74555.67041,0.0688,0.0759,0.0688,0.0713
2018/12/11 8:00,113876.1442,0.0692,0.0719,0.0662,0.0688
2018/12/12 8:00,44539.58445,0.0717,0.0718,0.0662,0.0692
2018/12/13 8:00,158614.4461,0.0658,0.072,0.0658,0.0696
2018/12/14 8:00,86042.64127,0.0647,0.071,0.0647,0.0658
2018/12/15 8:00,76165.36658,0.0625,0.0659,0.0624,0.0654
2018/12/16 8:00,57932.98999,0.0637,0.0673,0.063,0.063
2018/12/17 8:00,100941.9532,0.0732,0.0753,0.0624,0.0639
2018/12/18 8:00,236026.8477,0.0715,0.0744,0.0676,0.0699
2018/12/19 8:00,273575.7251,0.0706,0.0778,0.0696,0.0717
2018/12/20 8:00,189274.1512,0.0789,0.0806,0.0692,0.0695
2018/12/21 8:00,377571.4066,0.0764,0.084,0.0736,0.078
2018/12/22 8:00,461918.7209,0.0795,0.0812,0.075,0.077
2018/12/23 8:00,285324.2905,0.0795,0.085,0.0779,0.0782
2018/12/24 8:00,155667.0225,0.0794,0.0883,0.0779,0.0816
2018/12/25 8:00,279578.0507,0.0714,0.0812,0.068,0.0794
2018/12/26 8:00,103536.3831,0.0728,0.076,0.0702,0.0711
2018/12/27 8:00,192529.029,0.0669,0.0749,0.0667,0.0749
2018/12/28 8:00,111774.3143,0.0719,0.075,0.0663,0.067
2018/12/29 8:00,28285.11896,0.0705,0.0755,0.0705,0.073
2018/12/30 8:00,7760.847503,0.0713,0.0741,0.0713,0.0715
2018/12/31 8:00,33603.65687,0.0716,0.0746,0.07,0.0715
2019/1/1 8:00,67074.70081,0.0755,0.0755,0.0703,0.0716
2019/1/2 8:00,1251478.87,0.0965,0.1038,0.077,0.077
2019/1/3 8:00,436577.7377,0.086,0.1015,0.0857,0.0952
2019/1/4 8:00,290856.1136,0.0807,0.0877,0.0766,0.0858
2019/1/5 8:00,228994.2602,0.0805,0.0832,0.08,0.0803
2019/1/6 8:00,142787.5173,0.0823,0.0823,0.0781,0.0805
2019/1/7 8:00,112926.2528,0.0798,0.0837,0.0791,0.0823
2019/1/8 8:00,108814.4218,0.0809,0.0826,0.079,0.0802
2019/1/9 8:00,108006.8584,0.0807,0.0837,0.0792,0.0801
2019/1/10 8:00,692351.0732,0.0696,0.0836,0.0676,0.0811
2019/1/11 8:00,40634.63334,0.0723,0.0746,0.0682,0.0685
2019/1/12 8:00,87006.15521,0.0709,0.073,0.0706,0.0721
2019/1/13 8:00,55737.89292,0.0688,0.0768,0.0688,0.072
2019/1/14 8:00,84428.02131,0.0719,0.072,0.0679,0.0697
2019/1/15 8:00,91418.86603,0.0715,0.0735,0.0693,0.0719
2019/1/16 8:00,172847.3488,0.0701,0.0732,0.0689,0.07
2019/1/17 8:00,194031.2717,0.0698,0.072,0.0693,0.0703
2019/1/18 8:00,390246.1785,0.0696,0.0725,0.0679,0.0699
2019/1/19 8:00,139009.7597,0.0705,0.072,0.0685,0.0691
2019/1/20 8:00,240724.6451,0.0676,0.0713,0.0666,0.0704
2019/1/21 8:00,204511.6605,0.0684,0.0697,0.0664,0.068
2019/1/22 8:00,300044.0191,0.0702,0.0716,0.0671,0.0696
2019/1/23 8:00,600930.6204,0.0689,0.076,0.0676,0.0701
2019/1/24 8:00,133075.9716,0.0698,0.0702,0.067,0.069
2019/1/25 8:00,173846.3696,0.0695,0.0731,0.0679,0.0687
2019/1/26 8:00,159649.1068,0.0682,0.0703,0.068,0.0694
2019/1/27 8:00,115474.7111,0.0675,0.0748,0.0675,0.0684
2019/1/28 8:00,215951.3061,0.064,0.069,0.0617,0.069
2019/1/29 8:00,115923.0303,0.0644,0.0646,0.0619,0.064
2019/1/30 8:00,153257.6901,0.0688,0.0712,0.0635,0.0644
2019/1/31 8:00,84847.45609,0.064,0.0679,0.064,0.0674
2019/2/1 8:00,59417.5337,0.0673,0.0699,0.065,0.066
2019/2/2 8:00,20735.61303,0.0672,0.0676,0.0663,0.0667
2019/2/3 8:00,11475.55302,0.0676,0.069,0.0661,0.0676
2019/2/4 8:00,103165.6126,0.0671,0.0712,0.0652,0.0668
2019/2/5 8:00,9363.350192,0.0671,0.0672,0.0638,0.0661
2019/2/6 8:00,81216.45684,0.0642,0.0691,0.0638,0.0686
2019/2/7 8:00,19186.92852,0.065,0.067,0.065,0.067
2019/2/8 8:00,111924.4586,0.0704,0.071,0.0642,0.0661
2019/2/9 8:00,164761.7208,0.0701,0.0707,0.0684,0.0706
2019/2/10 8:00,70673.71584,0.0712,0.0712,0.0687,0.07
2019/2/11 8:00,102127.4266,0.0702,0.0717,0.0684,0.0704
2019/2/12 8:00,113244.1462,0.0695,0.0703,0.0683,0.07
2019/2/13 8:00,54497.68585,0.0727,0.0733,0.0694,0.0696
2019/2/14 8:00,36691.91673,0.072,0.0726,0.0701,0.0715
2019/2/15 8:00,112737.3017,0.0724,0.0753,0.0719,0.072
2019/2/16 8:00,127355.0584,0.0717,0.0755,0.0711,0.0726
2019/2/17 8:00,83453.59222,0.073,0.0736,0.0705,0.0716
2019/2/18 8:00,125379.8502,0.0771,0.0785,0.0723,0.0737
2019/2/19 8:00,213534.3244,0.0765,0.0797,0.0731,0.0771
2019/2/20 8:00,65052.65405,0.0766,0.0775,0.0737,0.0747
2019/2/21 8:00,100756.137,0.0753,0.0798,0.0749,0.0767
2019/2/22 8:00,112805.9724,0.0758,0.0782,0.0749,0.0753
2019/2/23 8:00,54281.93095,0.0805,0.0808,0.0752,0.0764
2019/2/24 8:00,271784.3111,0.0702,0.0837,0.0702,0.0805
2019/2/25 8:00,66655.51233,0.0718,0.08,0.0702,0.0703
2019/2/26 8:00,139001.5046,0.076,0.079,0.0707,0.0728
2019/2/27 8:00,340849.9219,0.0749,0.0787,0.0723,0.0763
2019/2/28 8:00,187611.7039,0.0762,0.0778,0.0718,0.0745
2019/3/1 8:00,86424.34178,0.0794,0.0802,0.0758,0.076
2019/3/2 8:00,85367.35881,0.0765,0.0797,0.0751,0.0781
2019/3/3 8:00,1885346.356,0.0956,0.1232,0.0763,0.0776
2019/3/4 8:00,3804382.006,0.1243,0.1351,0.0967,0.0988
2019/3/5 8:00,1385930.027,0.118,0.1306,0.1075,0.1248
2019/3/6 8:00,855003.9801,0.1139,0.1231,0.11,0.1163
2019/3/7 8:00,464812.5963,0.111,0.1161,0.1058,0.114
2019/3/8 8:00,444308.5437,0.1029,0.1127,0.1029,0.1111
2019/3/9 8:00,428376.0543,0.1033,0.1088,0.1011,0.1018
2019/3/10 8:00,276742.5112,0.1025,0.1049,0.1,0.1035
2019/3/11 8:00,255349.2391,0.1027,0.1032,0.0974,0.1016
2019/3/12 8:00,207735.1408,0.103,0.1107,0.0956,0.0979
2019/3/13 8:00,195567.9347,0.1021,0.1052,0.1005,0.104
2019/3/14 8:00,261947.8051,0.1007,0.1073,0.1,0.1017
2019/3/15 8:00,109151.9462,0.1029,0.105,0.1009,0.1009
2019/3/16 8:00,155228.1274,0.1032,0.1058,0.1023,0.1029
2019/3/17 8:00,247087.6825,0.1064,0.1141,0.1023,0.1032
2019/3/18 8:00,106816.9896,0.1064,0.1098,0.1029,0.1065
2019/3/19 8:00,410378.248,0.1161,0.1177,0.1067,0.1067
2019/3/20 8:00,1279102.021,0.1384,0.1616,0.1161,0.1161
2019/3/21 8:00,375466.6078,0.1458,0.1598,0.1286,0.1405
2019/3/22 8:00,360959.611,0.1552,0.169,0.1401,0.1453
